"G" "G_batting" "AB" "R" "H" "X2B" "X3B" "HR" "RBI" "SB" "CS" "BB" "SO" "IBB" "HBP" "SH" "SF" "GIDP" "Wins" "Win_P"
39 39 100 11 25 4 0 3 19 0 0 18 21 1 1 0 4 2 89 0.549382716
40 40 100 14 22 5 0 2 9 1 0 20 21 0 1 0 1 1 73 0.450617284
76 76 100 13 27 0 0 0 9 0 2 6 6 0 1 2 3 3 71 0.461038961
49 49 100 15 19 4 2 3 10 3 1 21 42 2 0 0 0 1 88 0.543209877
45 45 100 10 23 6 1 0 8 2 0 5 0 0 0 4 0 0 88 0.606896552
40 40 100 7 23 2 0 0 6 0 0 8 10 0 0 2 0 5 86 0.573333333
37 37 100 12 25 3 1 8 12 0 1 12 21 1 0 0 0 2 94 0.580246914
25 25 100 12 29 4 0 2 8 3 2 7 4 0 0 1 0 3 74 0.456790123
38 38 100 3 13 2 0 0 7 0 0 1 44 0 0 7 0 0 99 0.611111111
59 59 100 7 20 5 2 0 16 1 0 5 19 0 0 0 0 1 77 0.5
79 79 100 17 20 3 0 2 12 4 2 14 23 4 3 1 0 2 79 0.487654321
63 63 100 6 20 4 1 1 9 0 0 3 21 0 0 1 1 1 89 0.549382716
31 0 100 14 29 8 0 3 8 1 1 13 16 2 0 0 0 1 69 0.425925926
39 39 100 13 25 4 2 2 18 0 0 8 13 0 1 5 0 0 87 0.572368421
65 65 100 8 21 4 2 1 10 0 0 13 9 0 0 0 1 8 64 0.4
38 38 100 6 13 1 0 0 4 0 0 2 30 0 0 2 0 3 101 0.62345679
41 41 100 9 22 2 1 0 3 1 0 8 25 1 2 0 0 0 51 0.314814815
41 41 100 4 14 4 0 0 6 0 0 0 23 0 0 2 0 0 36 0.235294118
34 0 100 9 27 2 0 1 7 0 2 2 21 0 1 1 2 1 69 0.425925926
33 33 100 6 24 5 0 0 3 0 4 11 12 2 0 2 0 2 58 0.379084967
27 27 100 18 26 3 1 0 7 0 0 8 5 0 0 5 0 0 71 0.464052288
40 40 100 6 16 2 0 2 5 0 0 2 19 0 0 4 1 1 71 0.438271605
51 51 100 8 27 4 0 3 20 0 0 7 20 0 2 0 2 1 55 0.47826087
34 34 100 13 21 5 1 1 14 1 0 12 21 0 0 1 1 2 56 0.345679012
59 59 100 8 18 2 0 0 7 0 0 14 7 2 1 2 1 0 67 0.413580247
31 31 100 7 20 4 0 1 10 0 0 6 12 0 0 1 0 3 54 0.335403727
56 56 100 14 26 6 0 5 13 0 2 11 17 0 0 0 1 3 103 0.668831169
50 50 100 8 18 2 2 0 10 1 0 8 35 0 2 5 0 0 78 0.506493506
28 28 100 18 24 8 0 1 19 2 0 16 14 0 3 0 0 0 89 0.6953125
63 63 100 14 18 5 2 2 17 2 0 13 13 0 0 2 0 0 57 0.37254902
28 28 100 11 28 6 1 1 17 0 0 5 12 2 2 0 0 1 85 0.524691358
37 37 100 7 17 3 0 1 11 0 0 2 14 0 0 5 0 2 105 0.681818182
51 51 100 12 27 3 0 0 2 8 3 6 9 1 0 0 0 1 75 0.462962963
38 38 100 5 19 1 0 0 5 0 0 8 26 0 0 1 1 3 67 0.413580247
31 31 100 17 15 3 1 1 11 4 0 13 20 0 0 0 0 0 71 0.525925926
32 32 100 14 30 7 3 0 13 0 0 9 20 0 0 0 0 0 35 0.267175573
